source,target,tweet_id,type,weight
#idealism,#communism,1227600663280017409,cooccur,1
#idealism,#fascism,1227600663280017409,cooccur,1
#actonclimate,#gretathunberg,1230805035023503360,cooccur,1
#actonclimate,#climateemergencynow,1230805035023503360,cooccur,1
#actonclimate,#fridaysforfuture,1230805035023503360,cooccur,1
#actonclimate,#climatechangeisreal,1230805035023503360,cooccur,1
#actonclimate,#climateemergency,1230805035023503360,cooccur,1
#voteleave,#arronbanks,1230776308751372289,cooccur,1
#climatechange,#cvi,1229470428277723138,cooccur,1
#chainsaw_prince,#jamalkhashoggi,1226572857066565632,cooccur,1
#climateemergency,#gretathunberg,1230805035023503360,cooccur,1
#climateemergency,#fridaysforfuture,1230805035023503360,cooccur,1
#nevadacaucus,#nvcaucus,1231417079783469056,cooccur,1
#nevadacaucus,#berniesanders,1231417079783469056,cooccur,1
#nevadacaucus,#nvcaucus2020,1231417079783469056,cooccur,1
#nevadacaucus,#bernie2020,1231417079783469056,cooccur,1
#nevadacaucus,#nvdemscaucus,1231417079783469056,cooccur,1
#parliamentsquare,#brexitday,1223721636744040448,cooccur,1
#parliamentsquare,#independenceday,1223721636744040448,cooccur,1
#parliamentsquare,#freedom,1223721636744040448,cooccur,1
#parliamentsquare,#brexitparty,1223721636744040448,cooccur,1
#jeffersonian,#bywhatstandard,1226340515328798721,cooccur,1
#farright,#brexit,1230850519519973377,cooccur,1
#farright,#matthewelliott,1230776308751372289,cooccur,1
#farright,#actonclimate,1230805035023503360,cooccur,1
#farright,#climateactionnow,1230805035023503360,cooccur,1
#farright,#covid19italy,1233312018523926528,cooccur,1
#farright,#racism,1230850519519973377,cooccur,1
#farright,#debt,1230850519519973377,cooccur,1
#farright,#voteleave,1230776308751372289,cooccur,1
#farright,#covidー19,1233312018523926528,cooccur,1
#farright,#climateemergency,1230805035023503360,cooccur,1
#farright,#covid,1233312018523926528,cooccur,1
#farright,#deforestation,1230805035023503360,cooccur,1
#farright,#gove,1230776308751372289,cooccur,1
#farright,#covid2019,1233312018523926528,cooccur,1
#farright,#russia,1230776308751372289,cooccur,1
#farright,#taxpayeralliance,1230776308751372289,cooccur,1
#farright,#climatechangeisreal,1230805035023503360,cooccur,1
#farright,#farage,1230776308751372289,cooccur,1
#farright,#stevebannon,1230776308751372289,cooccur,1
#farright,#fridaysforfuture,1230805035023503360,cooccur,1
#farright,#arronbanks,1230776308751372289,cooccur,1
#farright,#tuftonstreet,1230776308751372289,cooccur,1
#farright,#radicalright,1225049239673344000,cooccur,1
#farright,#borisjohnon,1230776308751372289,cooccur,1
